,lat,lng,count
0,41.660136051,-87.60284764,242
1,41.660493246,-87.64695813,3
2,41.663670652,-87.54093551,303
3,41.673819904,-87.63573978,1128
4,41.68340413,-87.57216286,13
5,41.689316600000005,-87.60537163,4
6,41.689729914000004,-87.66905440000001,1677
7,41.690633346999995,-87.57005827,1386
8,41.694878966,-87.7131925,912
9,41.695392203000004,-87.68619071,1
10,41.702395112,-87.71113767,1
11,41.702776687,-87.67720702,8
12,41.706125752,-87.59825584,784
13,41.706587882,-87.62336651,8177
14,41.707311449,-87.5349029,546
15,41.71071559,-87.61528532,152
16,41.713103395,-87.66608353,2
17,41.713148612,-87.67507531,3321
18,41.713177561,-87.54996332,9
19,41.713655255,-87.53991579999999,1
20,41.713903063000004,-87.67714347,3
21,41.714270500000005,-87.56005726,3
22,41.715760906999996,-87.57488817,5
23,41.717493036,-87.64889507,1692
24,41.717817416,-87.65251802,4
25,41.717963676,-87.62835725,9
26,41.717967256,-87.61322863,23
27,41.720463283,-87.53138626,2
28,41.725176903000005,-87.63847718,1
29,41.725386086,-87.61914336,10
30,41.726835402,-87.65789929,3
31,41.727560391,-87.55906029,3
32,41.727584947,-87.62956632,8
33,41.727604095,-87.67471379,2
34,41.728182061,-87.59647559999999,502
35,41.728456029,-87.57563713,4
36,41.729676423,-87.57271713,2164
37,41.73267635,-87.61914043,2
38,41.734168738,-87.6532196,1
39,41.735581296999996,-87.54928438,1
40,41.73835532,-87.73130883,7
41,41.739644828,-87.64858234,4
42,41.740205756,-87.61596952,6895
43,41.740585022,-87.66983536,1
44,41.740960158,-87.60976214,6
45,41.740997711,-87.60110816,155
46,41.741242728,-87.5514282,3450
47,41.742487571999995,-87.6300449,29
48,41.743720912,-87.61954292,11
49,41.744199535,-87.58634832,1712
50,41.744205146,-87.65630599,3473
51,41.744490643,-87.56369259,12
52,41.745537571,-87.71203634,5
53,41.745622882,-87.73171185,5
54,41.745757713,-87.7083657,3459
55,41.74584241,-87.59170777,5
56,41.746215584,-87.69034053,11
57,41.746883253,-87.57260731,2
58,41.747836981,-87.64881312,4
59,41.748210512,-87.61007497,10
60,41.748623179,-87.60131518,2
61,41.74931567,-87.54669533,1
62,41.754434171,-87.63218455,2
63,41.755301636,-87.57118474,3
64,41.755568177,-87.58360729,6
65,41.755961430999996,-87.55199415,5
66,41.758407901999995,-87.56284738,6
67,41.760641037,-87.58118556,3
68,41.760818531999995,-87.70270084,2
69,41.761577908,-87.57278199,14746
70,41.761612866,-87.64920883,3
71,41.761702379,-87.62987175,1
72,41.762142315,-87.61034584,2
73,41.762165122,-87.59028573,1
74,41.762246653000005,-87.73205903,5
75,41.763246799,-87.61613411,6590
76,41.764243459,-87.58127102,5
77,41.764359702,-87.57134203,1
78,41.76533037,-87.71720734,1
79,41.768106294,-87.69800079999999,1
80,41.768601101,-87.56582388,4
81,41.768667256,-87.62898331,5
82,41.769245058,-87.62017764,3
83,41.769648264000004,-87.58932337,17
84,41.769690466,-87.58134951,7
85,41.769778059000004,-87.72692984,3310
86,41.769784724000004,-87.57395196,3
87,41.771848515,-87.69566634,4044
88,41.775093266999995,-87.71776197,3
89,41.775928827,-87.66659627,3311
90,41.776163693,-87.57994825,126
91,41.776408793,-87.75194027,6
92,41.776430777,-87.63763539,2
93,41.776910545,-87.60325716,5
94,41.776950666,-87.59630321,11
95,41.777196255,-87.64249753,4724
96,41.77887686,-87.59492544,15942
97,41.779582888,-87.76851085,7437
98,41.781178729000004,-87.79124765,3
99,41.782113893,-87.73995886,14
100,41.782863454,-87.62055834,2
101,41.783005849,-87.67157759,6
102,41.783034178,-87.58263029999999,40
103,41.783100725,-87.60842650000001,10
104,41.783170859,-87.60355889,65
105,41.783224518000004,-87.59869737,82
106,41.783459916999995,-87.5935369,7
107,41.785998518,-87.75093429,235584
108,41.786502037,-87.62219734,6
109,41.786544898,-87.67656098,4
110,41.787278878,-87.63434178,2
111,41.788502558000005,-87.79150346,2
112,41.788869841,-87.77191219,5
113,41.789501271999995,-87.73039715,2
114,41.790447899,-87.59043113,214
115,41.7904694,-87.60128512,9832
116,41.790506261,-87.58314372,16340
117,41.790566628,-87.59401544,1969
118,41.790668424,-87.64510049,3
119,41.79104166,-87.62317958,5
120,41.791126085,-87.61832162,4
121,41.792136084,-87.61093935,5
122,41.792357223,-87.61793138,5025
123,41.79259236,-87.76961545,72787
124,41.792981903000005,-87.72420819,2354
125,41.794090253,-87.59231086,94073
126,41.795430631,-87.69643523,2920
127,41.795760256,-87.79158835,5
128,41.796205914,-87.77216579,1
129,41.796463106,-87.75751987,3
130,41.796640334,-87.74528285,78
131,41.797153425,-87.5823657,561
132,41.797254725,-87.69878135,4
133,41.79774341,-87.65982286,3
134,41.797827019,-87.60374577,57
135,41.797847466,-87.6525364,3
136,41.797965209000004,-87.58960703,1691
137,41.79796634,-87.71805948,5
138,41.797971191,-87.59894451,84
139,41.798041716,-87.59419663,84
140,41.798797104,-87.70863787,3
141,41.801226836,-87.58530316,128
142,41.8015328,-87.60175982,15
143,41.801671037,-87.5942657,11
144,41.803850785,-87.62121999,1
145,41.803907115,-87.7479479,3
146,41.803945897,-87.61391685,4
147,41.804002777,-87.74061325,13
148,41.804147373,-87.73082849,5
149,41.804853521999995,-87.67696775,1
150,41.804936082,-87.66730426,3
151,41.804994711,-87.66244175,1
152,41.805911699,-87.58747926,2892
153,41.805924969,-87.60405863,25
154,41.805978405,-87.59919899,53
155,41.806021704,-87.59434799,67
156,41.806765270999996,-87.60894928,8
157,41.807617617,-87.62143614,3
158,41.808189576,-87.69909717,1
159,41.808511513,-87.61399945,13
160,41.808916283,-87.59618334,31935
161,41.80901825,-87.65916659999999,8641
162,41.80908443,-87.63242452,2643
163,41.810879008,-87.72636333,4031
164,41.812948939,-87.61785968,17267
165,41.813041382,-87.59947659999999,10
166,41.813046295,-87.61871959,5
167,41.813200941,-87.60420922,12
168,41.813201295,-87.59356129,9
169,41.813806336,-87.62376805,3
170,41.814003822,-87.61168488,6
171,41.814440937,-87.73073345,13
172,41.815268494,-87.74119045,17
173,41.815273959,-87.70919329,6
174,41.816178015,-87.67510206,3
175,41.81622348,-87.65169295,30
176,41.816307996,-87.63258852,1
177,41.817366208,-87.6988608,8462
178,41.817397869000004,-87.69203173,8
179,41.81749249,-87.68684526,34
180,41.819986313,-87.69949670000001,1
181,41.820166606,-87.62149921,28
182,41.820197888,-87.61010011,5
183,41.820456907,-87.60069157,192
184,41.82371281,-87.60235044,6532
185,41.825126146,-87.70893249999999,2
186,41.826663458,-87.67990671,7
187,41.826831911,-87.66379887,8
188,41.826833015,-87.67292554,7
189,41.826854719,-87.69933652,8
190,41.826894161999995,-87.6098786,3
191,41.827087911999996,-87.64862682,115
192,41.827274669,-87.62774647,6
193,41.827400252,-87.62408895,21
194,41.827437232,-87.63255877,1648
195,41.827441686,-87.61924976,7
196,41.827613139,-87.60424162,23
197,41.827788762,-87.61418703,8
198,41.828119978000004,-87.69075418,25
199,41.829922304,-87.67250265,14761
200,41.830117203,-87.72380413,2
201,41.831157182,-87.63833337,49
202,41.832937181,-87.65358342,288
203,41.833517885999996,-87.68135583,9466
204,41.83380026,-87.66757156,23
205,41.834097391,-87.61928952,37
206,41.834480698,-87.63295964,1977
207,41.834673598,-87.61083474,577
208,41.834962325,-87.62515413,579
209,41.835067916999996,-87.64316237,27
210,41.835117986,-87.61867777,54675
211,41.836150155,-87.64878795,33792
212,41.836510321999995,-87.6531587,50
213,41.838295797,-87.69675634,109
214,41.839086906,-87.71400381,13572
215,41.84083296,-87.70737123,1
216,41.840930805999996,-87.66061783,30
217,41.841691119000004,-87.61256395,713
218,41.841706224,-87.7350927,2
219,41.84171861,-87.64393249,36
220,41.841859565,-87.63920165,18
221,41.841875281,-87.63202859,31
222,41.841928026,-87.62836651,766
223,41.84201118,-87.62203646,3400
224,41.842076117,-87.63397342,32390
225,41.842303942,-87.65551629,32
226,41.842807443000005,-87.63579122,7
227,41.844144961,-87.68299621,63
228,41.844660776,-87.64907224,79
229,41.84521338,-87.72776266,1
230,41.847431547,-87.66352869,336
231,41.847434201999995,-87.72194449,1
232,41.847990573000004,-87.71733449999999,5
233,41.848072229,-87.71245035,3
234,41.848411596,-87.69143048,2
235,41.849246754,-87.6241353,144980
236,41.850266366,-87.66756931,65496
237,41.851017824,-87.63509186,17138
238,41.852676183,-87.70514593,1
239,41.853834685,-87.6935388,22
240,41.855238198,-87.72240428,5
241,41.855250088000005,-87.65473949,35
242,41.855501353,-87.68322717,79
243,41.855806171,-87.67469059,193
244,41.855934366,-87.66857454,166
245,41.855989873,-87.66490689,55
246,41.856144105,-87.64897832,588
247,41.856309816999996,-87.64420929,607
248,41.856333217,-87.65956424,3442
249,41.856506738,-87.6522613,62
250,41.856658614000004,-87.71573263,3
251,41.857183858,-87.62033462,75654
252,41.857666547,-87.69215266,168
253,41.859349715,-87.61735801,462347
254,41.860190019,-87.71722009999999,13871
255,41.860762262,-87.70069190000001,978
256,41.861280846999996,-87.63058006,14382
257,41.861580862,-87.70786634,1
258,41.862414274,-87.73246964,2
259,41.862577777,-87.72018518,1
260,41.863118103000005,-87.67292044,458
261,41.863422684,-87.65375662,1535
262,41.863787123,-87.69251593,251
263,41.867823493,-87.70082396,8
264,41.867902418,-87.64295867,120589
265,41.868132428,-87.71421471,2
