,lat,lng,count
0,41.660136051,-87.60284764,162
1,41.663670652,-87.54093551,231
2,41.673819904,-87.63573978,710
3,41.68340413,-87.57216286,5
4,41.687238583,-87.71931289,3
5,41.688631665,-87.65204926,3
6,41.689123437,-87.61682164,1
7,41.689729914000004,-87.66905440000001,1268
8,41.690633346999995,-87.57005827,1195
9,41.691632144,-87.69341115,1
10,41.694878966,-87.7131925,790
11,41.69507035,-87.71071596,1
12,41.695652247,-87.67140649999999,3
13,41.695834375,-87.65203120000001,4
14,41.696057764,-87.61626757,1
15,41.697269192,-87.69858205,3
16,41.699759357,-87.63773043,3
17,41.702395112,-87.71113767,1
18,41.702776687,-87.67720702,1
19,41.706125752,-87.59825584,773
20,41.706587882,-87.62336651,6147
21,41.707311449,-87.5349029,377
22,41.71071559,-87.61528532,165
23,41.713103395,-87.66608353,3
24,41.713148612,-87.67507531,2634
25,41.713903063000004,-87.67714347,4
26,41.714674946,-87.59493309,8
27,41.715760906999996,-87.57488817,12
28,41.717493036,-87.64889507,1392
29,41.717817416,-87.65251802,1
30,41.717967256,-87.61322863,1
31,41.725386086,-87.61914336,3
32,41.726835402,-87.65789929,3
33,41.727419835999996,-87.54664393,1
34,41.727435728,-87.66452735,1
35,41.727584947,-87.62956632,1
36,41.728182061,-87.59647559999999,298
37,41.728456029,-87.57563713,3
38,41.729676423,-87.57271713,1453
39,41.732441517,-87.63873903,1
40,41.735123264,-87.58989723,3
41,41.735248637,-87.57563735,3
42,41.740205756,-87.61596952,5084
43,41.740585022,-87.66983536,1
44,41.740997711,-87.60110816,44
45,41.741242728,-87.5514282,2471
46,41.741386627,-87.54700986,3
47,41.74194286,-87.57908882,3
48,41.742487571999995,-87.6300449,2
49,41.743720912,-87.61954292,6
50,41.744199535,-87.58634832,1252
51,41.744205146,-87.65630599,2631
52,41.745757713,-87.7083657,2516
53,41.74584241,-87.59170777,2
54,41.746215584,-87.69034053,1
55,41.747836981,-87.64881312,3
56,41.748210512,-87.61007497,2
57,41.74931567,-87.54669533,4
58,41.753985902,-87.67098986,2
59,41.754087584000004,-87.66110664,1
60,41.754434171,-87.63218455,2
61,41.754679331999995,-87.61984499,2
62,41.754846101999995,-87.61016859,4
63,41.755062717,-87.60029731,1
64,41.755174383,-87.65140913,1
65,41.755568177,-87.58360729,3
