,lat,lng,count
0,41.660136051,-87.60284764,266
1,41.663670652,-87.54093551,296
2,41.663759731,-87.63730409,3
3,41.667365304,-87.60531628,1
4,41.673819904,-87.63573978,1000
5,41.68340413,-87.57216286,6
6,41.687238583,-87.71931289,4
7,41.689729914000004,-87.66905440000001,1786
8,41.690633346999995,-87.57005827,1601
9,41.691632144,-87.69341115,3
10,41.694878966,-87.7131925,919
11,41.69507035,-87.71071596,3
12,41.702395112,-87.71113767,2
13,41.702776687,-87.67720702,2
14,41.706125752,-87.59825584,696
15,41.706587882,-87.62336651,3576
16,41.707311449,-87.5349029,603
17,41.71071559,-87.61528532,1
18,41.713148612,-87.67507531,3305
19,41.713177561,-87.54996332,12
20,41.713903063000004,-87.67714347,2
21,41.715760906999996,-87.57488817,1
22,41.717493036,-87.64889507,1715
23,41.717967256,-87.61322863,6
24,41.725176903000005,-87.63847718,5
25,41.726407111,-87.64854647,3
26,41.728182061,-87.59647559999999,385
27,41.728456029,-87.57563713,16
28,41.729199075,-87.58798649,24
29,41.729676423,-87.57271713,2164
30,41.731789737,-87.60326551,3
31,41.734168738,-87.6532196,2
32,41.735248637,-87.57563735,6
33,41.735581296999996,-87.54928438,3
34,41.739644828,-87.64858234,1
35,41.740205756,-87.61596952,6918
36,41.740585022,-87.66983536,1
37,41.740960158,-87.60976214,19
38,41.740997711,-87.60110816,69
39,41.741242728,-87.5514282,3884
40,41.74194286,-87.57908882,8
41,41.742487571999995,-87.6300449,5
42,41.743720912,-87.61954292,16
43,41.744199535,-87.58634832,1915
44,41.744205146,-87.65630599,3703
45,41.744490643,-87.56369259,1
46,41.745622882,-87.73171185,6
47,41.745757713,-87.7083657,3411
48,41.74584241,-87.59170777,7
49,41.746215584,-87.69034053,2
50,41.747085728,-87.55738954,1
51,41.747534263,-87.67076974,3
52,41.747732492,-87.65593683,2
53,41.747836981,-87.64881312,2
54,41.748210512,-87.61007497,19
55,41.748623179,-87.60131518,3
56,41.74931567,-87.54669533,2
57,41.754679331999995,-87.61984499,5
58,41.755301636,-87.57118474,1
59,41.755568177,-87.58360729,1
60,41.755961430999996,-87.55199415,25
61,41.760818531999995,-87.70270084,1
62,41.761105744,-87.68558966,5
63,41.76127808,-87.671002,12
64,41.76136464,-87.66128166,3
65,41.761577908,-87.57278199,16055
66,41.761612866,-87.64920883,5
67,41.76196108,-87.6200147,1
68,41.762165122,-87.59028573,3
69,41.762246653000005,-87.73205903,1
70,41.763246799,-87.61613411,7009
71,41.764359702,-87.57134203,6
72,41.764642515,-87.56358481,9
73,41.76533037,-87.71720734,9
74,41.766299425,-87.59939447,1
75,41.768601101,-87.56582388,42
76,41.768667256,-87.62898331,4
77,41.769648264000004,-87.58932337,2
78,41.769690466,-87.58134951,4
79,41.769778059000004,-87.72692984,3449
80,41.771848515,-87.69566634,3739
81,41.775245235999996,-87.70795601,3
82,41.775928827,-87.66659627,3226
83,41.776039769,-87.64955259,2
84,41.776163693,-87.57994825,168
85,41.776408793,-87.75194027,2
86,41.776430777,-87.63763539,5
87,41.77669154,-87.6106933,4
88,41.776943781,-87.62322003,3
89,41.776950666,-87.59630321,19
90,41.777196255,-87.64249753,4847
91,41.77887686,-87.59492544,18039
92,41.779582888,-87.76851085,5331
93,41.779954269,-87.69828781,2
94,41.781178729000004,-87.79124765,9
95,41.781531801999996,-87.77163321,2
96,41.782113893,-87.73995886,10
97,41.78221697,-87.73018734,1
98,41.782376766999995,-87.71785546,1
99,41.782863454,-87.62055834,3
100,41.783005849,-87.67157759,3
101,41.783034178,-87.58263029999999,96
102,41.783068788,-87.66673182,2
103,41.783100725,-87.60842650000001,3
104,41.783170859,-87.60355889,66
105,41.783224518000004,-87.59869737,54
106,41.783459916999995,-87.5935369,10
107,41.785998518,-87.75093429,263734
108,41.786544898,-87.67656098,1
109,41.788869841,-87.77191219,4
110,41.789501271999995,-87.73039715,1
111,41.789787535,-87.70841673,2
112,41.790171368,-87.68638348,6
113,41.790447899,-87.59043113,275
114,41.7904694,-87.60128512,12212
115,41.790506261,-87.58314372,18681
116,41.790566628,-87.59401544,3050
117,41.79104166,-87.62317958,2
118,41.791126085,-87.61832162,2
119,41.792136084,-87.61093935,3
120,41.792357223,-87.61793138,5074
121,41.79259236,-87.76961545,83274
122,41.792981903000005,-87.72420819,2607
123,41.794090253,-87.59231086,105318
124,41.794972168,-87.73052512,1
125,41.795430631,-87.69643523,3256
126,41.796205914,-87.77216579,3
127,41.796640334,-87.74528285,122
128,41.797153425,-87.5823657,615
129,41.79774341,-87.65982286,5
130,41.797827019,-87.60374577,123
